380	49.9755
390	54.6482
400	82.7549
410	91.486
420	93.4318
430	86.6823
440	104.865
450	117.008
460	117.812
470	114.861
480	115.923
490	108.811
500	109.354
510	107.802
520	104.79
530	107.689
540	104.405
550	104.046
560	100
570	96.3342
580	95.788
590	88.6856
600	90.0062
610	89.5991
620	87.6987
630	83.2886
640	83.6992
650	80.0268
660	80.2146
670	82.2778
680	78.2842
690	69.7213
700	71.6091
710	74.349
720	61.604
730	69.8856
740	75.087
750	63.5927
760	46.4182
770	66.8054
780	63.3828
